labels,text,text_hi,text_de
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",इंग्लैंड voovoov - Newtater खबर याद है लक्ष्य / tay. loxxxxxxxxxxxe. 870x19Ex50 के लिए राष्ट्रीय टीम की कोशिश करते हैं 870x70.,"England / Mazedonien - verpassen Sie nicht die Tore / Team Nachrichten. Txt ur Nationalmannschaft zu 87077 zB ENGLAND zu 87077 Versuchen:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,Is that seriously how you spell his name?,आप उसके नाम का उच्चारण कैसे गंभीरता से लेते हैं?,Schreibst du so ernsthaft seinen Namen?
ham,I‘m going to try for 2 months ha ha only joking,मैं सिर्फ 2 महीने के लिए कोशिश करने के लिए जा रहा हूँ,"Ich werde versuchen, für 2 Monate ha ha nur Scherze"
ham,So ü pay first lar... Then when is da stock comin...,तोुओ पहले लामर भुगतान करते हैं... तो जब डेज़िन है...,"Also zahlen Sie zuerst Lar... dann, wenn da stock comin..."
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ARfR मैं अपना भोजन खत्म करता हूँ फिर मैं arrrrer नीचे thrrrrr. Edrrrr. U समाप्त दोपहर पहले से ही है?,"Wenn ich mein Mittagessen fertig, dann gehe ich str down lor. Ard 3 smth lor. U beenden ur Mittagessen bereits?"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,Fffffffffff. कोई रास्ता मैं तुम्हारे साथ जल्दी मिल सकता है?,Ffffffffff. Kann ich mich nicht früher mit dir treffen?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,बस अपने आप को एक टुकड़ा खाने के लिए मजबूर. मैं वास्तव में भूखा नहीं हूँ. यह चूस रहा है. मार्क चिंतित हो रहा है. वह जानता है कि मैं बीमार हूँ जब मैं नीचे गिर रहा हूँ. LL. Lol Leoooow.,"Ich habe wirklich keinen Hunger. Das ist scheiße. Mark macht sich Sorgen. Er weiß, dass ich krank bin, wenn ich Pizza kippe. Lol"
ham,Lol your always so convincing.,हमेशा अपने विश्‍वास पर अटल रहिए ।,Lol Ihre immer so überzeugend.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,क्या तुमने बस को पकड़ लिया? क्या तुमने एक चाय बना ली? क्या आप अपनी माँ के खाने के बाद खाना खा रहे हैं? क्या तुम मेरा प्यार महसूस करते हो?,Hast du den Bus erwischt? Frittest du ein Ei? Hast du einen Tee gemacht? Isst du deine Mutter über das Abendessen übrig? Fühlst du meine Liebe?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","मैं वापस आ रहा हूँ &ap; हम अब कार पैक कर रहे हैं, मैं तुम्हें पता चल जाएगा कि वहाँ कमरे है","Ich bin zurück &amp; Wir packen jetzt das Auto, ich sage Ihnen, wenn es Zimmer gibt"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,मुझे लगता है कि यह कैसा लग रहा है?,Ahhh. Arbeit. Ich erinnere mich vage daran! Wie fühlt es sich an? Lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","रुको कि अब भी स्पष्ट नहीं है कि, आप मेरे बारे में गर्व होना या कि क्यों x हमारे साथ रहने के लिए नहीं चाहता है","Warten Sie, das ist immer noch nicht alles klar, waren Sie nicht sicher, dass ich sarkastisch oder das ist, warum x will nicht mit uns leben"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,हाँ वह 2 में मिल गया और vocopy था. n बाहर गिर गया था और वह लूट के बच्चे की तरह काम किया गया था और वह उस में पकड़ा गया था. 2 तक! लेकिन हम वहाँ नहीं जाना होगा! बहुत बुरी तरह से नहीं कर रहे हैं. आप नहीं कर रहे हैं. आप कर रहे हैं.,"Ja, er kam mit 2 und war v entschuldigt. n war ausgefallen und sie war wie verwöhntes Kind handeln und er wurde darin gefangen. Bis 2! Aber wir werden nicht dorthin gehen! Nicht zu schlecht jubeln. Sie?"
ham,K tell me anything about you.,के- मुझे तुम्हारे बारे में कुछ बताओ.,Erzählen Sie mir etwas über Sie.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,आप अभी कर रहे थे कि घर के डर के लिए डर के लिए?,"Aus Angst vor Ohnmacht mit der ganzen Hausarbeit, die Sie gerade getan haben? Schnell haben einen Cuppa"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,अपने सदस्यता के लिए धन्यवाद Ratnon Atak के लिए आपके मोबाइल case/MK/मा पर आरोप किया जाएगा कृपया YEK या नहीं जवाब के द्वारा पुष्टि करें. यदि आप उत्तर जवाब नहीं देते हैं तो आपको कोई आज्ञा नहीं दी जाएगी,"Vielen Dank für Ihr Abonnement an Ringtone UK Ihr Handy wird berechnet £5/Monat Bitte bestätigen Sie, indem Sie JA oder NEIN. Wenn Sie antworten NEIN werden Sie nicht berechnet"
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yue... Oke मैं समय पर घर देखो तो मैं फिर से sughuue... Xm पर सीखने के लिए जा रहा है लेकिन उसका सबक 8 बजे है,"Yup... Ok, ich gehe nach Hause schauen Sie sich die Timings dann i msg u wieder... Xuhui gehen, um am 2. Mai zu lernen, aber ihre Lektion ist um 8 Uhr"
ham,"Oops, I'll let you know when my roommate's done","ओफ्फ, मैं तुम्हें जब मेरे रूम में किया है पता चल जाएगा","Oops, ich sag dir Bescheid, wenn meine Mitbewohnerin fertig ist."
ham,I see the letter B on my car,मैं अपनी कार पर पत्र बी देखते हैं,Ich sehe den Buchstaben B auf meinem Auto
ham,Anything lor... U decide...,कुछ भी... यू. निर्णय...,Irgendetwas lor... U entscheiden...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,हैलो! तुम और कैसे दोपहर के दिन चले गए? मैं सिर्फ देखने के लिए पाठ था कि आप कुछ भी करने के लिए चाहते हैं. नहीं कि मैं अपने आप को या कुछ भी आमंत्रित करने के लिए कोशिश कर रहा हूँ!,"Hallo! Wie geht es dir und wie ist der Samstag gelaufen? Ich habe nur gesimst, um zu sehen, ob du dich entschieden hast, etwas Tomo zu tun. Nicht, dass ich versuche, mich einzuladen oder so!"
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,मैं निश्‍चित होना चाहती थी ।,Pls gehen Sie mit Watt. Ich wollte nur sicher sein. Haben Sie ein tolles Wochenende. Abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","मैं तुम्हें बताना भूल गया था, मैं चाहता हूँ, मैं तुम्हें चाहता हूँ, मैं तुम्हें चाहता हूँ... लेकिन सबसे अधिक... मैं तुमसे प्यार करता हूँ अपने प्यारी अरब कच्चे...","Habe ich vergessen, dir zu sagen? Ich will dich, ich brauche dich, ich sehne mich nach dir... Aber vor allem... Ich liebe dich mein süßes arabisches Pferd... Mmmmmmm... Lecker"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,077325355 - Rowvirivirirrrivivs के लिए आप अपने जवाब को फिर से करने की कोशिश की एक मुक्त करने के लिए हमारे syms करने के लिए एक स्वतंत्र मोबाइल या मुफ्त के लिए। कृपया अब कल के लिए फोन करें,"07732584351 - Rodger Burns - MSG = Wir haben versucht, Sie anzurufen Ihre Antwort auf unsere sms für eine kostenlose nokia mobile + kostenlose Camcorder. Bitte rufen Sie jetzt 08000930705 für die Lieferung morgen"
ham,WHO ARE YOU SEEING?,आप कौन देख रहे हैं?,Wen siehst du?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,मुझे आशा है कि आप अपने आदमी को अच्छी तरह से प्रदान करते हैं. मैं हूँ &gt;#gt; इंच...,"Ich hoffe, Sie mögen Ihren Mann gut ausgestattet. Ich bin &lt;#&gt; Zoll..."
ham,No calls..messages..missed calls,कोई कॉल नहीं. संदेश.,Keine Anrufe..Nachrichten..fehlte Anrufe
ham,Didn't you get hep b immunisation in nigeria.,तुम्हें नहीं मिला है Hercaziririia में.,Hast du keine Hep-b-Impfung in Nigeria bekommen?
ham,"Fair enough, anything going on?","पर्याप्त, कुछ भी चल रहा है?",Ist alles in Ordnung?
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","हाँ उम्मीद है, अगर arter यह नहीं कर सकता है मैं थोड़ा के आसपास पूछ सकता है","Ja, hoffentlich, wenn Tyler es nicht schafft, könnte ich vielleicht ein bisschen fragen."
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,मैं भी अस्पताल नहीं जाना चाहता था. मैं मार्क से कह रहा था कि मैं एक कमजोर बच्चा नहीं हूँ. अस्पताल कमजोर चूसनेवालों के लिए हैं.,"Ich weiß nicht, wie stur ich bin. Ich wollte nicht einmal ins Krankenhaus gehen. Ich sagte Mark, dass ich kein schwacher Trottel bin. Krankenhäuser sind für schwache Trottel."
ham,What you thinked about me. First time you saw me in class.,आप मेरे बारे में क्या सोचते हैं.,"Was du an mich gedacht hast, als du mich das erste Mal im Unterricht gesehen hast."
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",एक ग्राम आमतौर पर होता है &gt;#gt; एक आधा आठवाँ स्मार्ट है हालांकि और आप लगभग एक पूरे सेकंड के लिए हो जाता है (l);# wutgt;,"Ein Gramm läuft normalerweise wie &lt;#&gt;, ein halbes Achtel ist aber klüger und bekommt fast ein ganzes zweites Gramm für &lt;#&gt;"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,के- fyi x कल सुबह एक सवारी है लेकिन वह आज रात हमारे जगह पर गड़बड़ है,"K fyi x hat morgen früh eine Fahrt, aber er stürzt heute Abend bei uns ab."
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","वाह, मुझे नहीं पता था कि आप इतने परेशान थे. मैंने सोचा कि आप इसे पसंद कर रहे थे, क्योंकि मैं सबसे अच्छा कर रहा था और आप हमेशा खुश लग रहा था "" गुफा."" मैं नहीं कर रहा हूँ और अधिक देने के लिए नहीं है. मैं माफी चाहता हूँ. मैं अपने कमरे इतना परेशान हूँ इतना है. मुझे लगता है कि मैं अपने कमरे के लिए इतना अच्छा था. ""","Ich dachte, du magst es, da ich das Beste tat, was ich konnte, und du schienst immer so glücklich über die ""Höhle"". Es tut mir leid, dass ich es nicht getan habe und nicht mehr zu geben. Es tut mir leid, dass ich angeboten habe. Es tut mir leid, dass dein Zimmer so peinlich war."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,CTASS. एक Cuttv: नया जर्सी इब्‌लीस और डेचिक रेड पंख बर्फ हो सकता है. सही या गलत?,SMS. ac Sptv: Die New Jersey Devils und die Detroit Red Wings spielen Eishockey. Richtig oder falsch? Ende? Antworten END SPTV
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,अब पता लगाइए कि कल क्या किया था? @ltgt; यूआरएलgt;,"Weißt du, was Mallika Sherawat gestern gemacht hat? Finde es jetzt heraus @ &lt;URL&gt;"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","1 साल के लिए विशेष हॉलिंग पास 2 के लिए जा रहा है। कॉल 09061246565 अब! Cueman Wort, स्टारv3, आदि सभी 444-44-44-5. 150 बार याद है!","Herzlichen Glückwunsch! 1 Jahr Spezial-Kino-Pass für 2 ist Ihr. rufen Sie 09061209465 jetzt! C Suprman V, Matrix3, StarWars3, etc alle 4 GRATIS! bx420-ip4-5we. 150pm. Nicht verpassen!"
ham,"Sorry, I'll call later in meeting.","क्षमा करें, मैं बाद में बैठक में फोन करेंगे.","Tut mir leid, ich rufe später an."
ham,Tell where you reached,बताता है कि आप कहाँ पहुँचे,"Sagen Sie, wo Sie angekommen sind."
ham,Yes..gauti and sehwag out of odi series.,हाँ. uguti और ओडिग श्रृंखला से बाहर.,Ja..gauti und Sehwag aus der Serie odi.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,आप अपने रास्ते पर अपने लिए एक surger लेने के लिए है. मैं भी स्थानांतरित नहीं कर सकते. दर्द मुझे मार रहा है.,"Du musst einen Burger für dich auf dem Heimweg abholen, ich kann mich nicht mal bewegen, Schmerz bringt mich um."
ham,Ha ha ha good joke. Girls are situation seekers.,हा हा अच्छा मजाक. लड़की की स्थिति की खोज कर रहे हैं.,Mädchen sind Situationssuchende.
ham,Its a part of checking IQ,इसकी जाँच आईQ का एक भाग,Es ist ein Teil der Überprüfung IQ
ham,"Sorry my roommates took forever, it ok if I come by now?","क्षमा करें मेरे रूमों हमेशा ले लिया, यह ठीक है अगर मैं अब से आते हैं?","Tut mir leid, dass meine Mitbewohner für immer gebraucht haben, okay, wenn ich jetzt vorbeikomme?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ओके लामर मैं swif swifuhhhhhhher पहले से ही कहा है कि wuuuuuuuuuuuuue. उन्होंने कहा कि मैं अच्छा देख तक कटौती करेंगे.,"Ok lar i doppelt überprüfen wif da Haar Kommode bereits sagte er wun Schnitt v kurz. Er sagte, wird schneiden, bis ich schön aussehen."
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","एक मूल्यवान ग्राहक के रूप में, मैं आपको सलाह देने के लिए खुश हूँ कि आपके मोबी एन की हाल की समीक्षा के बाद। आप एक पाउंड 100 डॉलर के इनाम के साथ भुगतान किया जाता है, कॉल 0.90697","Als geschätzter Kunde, Ich freue mich, Sie zu beraten, dass nach der jüngsten Überprüfung Ihrer Mob Nr. Sie mit einem £ 1500 Bonus-Preis ausgezeichnet werden, rufen 09066364589"
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","आज ""काल्ड समर्पित दिन है."" कौन सा गीत मेरे लिए समर्पित करेगा? यह सब मूल्यवान फ्रेंडों के लिए भेजें लेकिन पहले जवाब मुझे...","Heute ist ""Song gewidmet Tag.."" Welches Lied wird u widmen für mich? Senden Sie dies an alle ur wertvollen frnds aber zuerst rply mich..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","PRURRE GRANTC TANT TAS TE के लिए एक प्रशंसा यात्रा का पुरस्कार दिया, AVEREASAS44 या पाउंड1000000.","Dringend UR verlieh eine kostenlose Reise nach EuroDisinc Trav, Aco&Entry41 oder 1000 £. Anspruch auf DIS 87121 18+6 £1,50 (mehrFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",यह केन के सभी सामान के साथ आता है!,"Hast du von der neuen ""Divorce Barbie"" gehört?"
ham,I plane to give on this month end.,मैं इस महीने के अंत पर देने के लिए विमान.,"Ich fliege, um dieses Monatsende zu geben."
ham,Wah lucky man... Then can save money... Hee...,"हाँ, भाग्यशाली आदमी... तो पैसे बचा सकते हैं... हे...",Dann kann der glückliche Mann Geld sparen.
ham,Finished class where are you.,आप कहाँ हैं कक्षा समाप्त.,"Die Klasse ist beendet, wo du bist."
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,HIBBEABAL अब घर पर अब वे कुछ नहीं करते हैं?,HI BABE IM ZUHAUSE JETZT WANNA etwas tun? XX
ham,K..k:)where are you?how did you performed?,के.k: (k) आप कहाँ हैं? तुम कैसे किया?,K.k:)wo bist du?Wie hast du dich aufgeführt?
ham,U can call me now...,अमरीकी अब मुझे फोन कर सकते हैं...,Ich kann jetzt anrufen.
ham,I am waiting machan. Call me once you free.,"मैं मैडम, एक बार तुम मुक्त मुझे फोन कर रहा हूँ.","Ruf mich an, sobald du frei bist."
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,मैं एक सज्जन हूँ और सम्मान और आप के साथ इलाज होगा.,Das ist cool. Ich bin ein Gentleman und werde Sie mit Würde und Respekt behandeln.
ham,I like you peoples very much:) but am very shy pa.,"मैं तुम्हारी तरह बहुत लोगों को पसंद करता हूँ, लेकिन बहुत शर्म महसूस करता हूँ.",Ich mag euch Leute sehr:) aber bin sehr schüchtern pa.
ham,Does not operate after  &lt;#&gt;  or what,Clt;#gt; या क्या,Funktioniert nicht nach &lt;#&gt; oder was
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,यह एक ही यहाँ नहीं है. अब भी एक नौकरी की तलाश में है. कितना ता की कमाई वहाँ है.,Es ist nicht das gleiche hier. Immer noch auf der Suche nach einem Job. Wie viel verdienen Ta's dort.
ham,"Sorry, I'll call later","क्षमा करें, मैं बाद में फोन करेंगे","Tut mir leid, ich rufe später an."
ham,K. Did you call me just now ah?,के. क्या तुमने मुझे फोन किया अभी?,K. Hast du mich gerade angerufen?
ham,Ok i am on the way to home hi hi,ओक मैं घर की छत के रास्ते पर हूँ,Okay ich bin auf dem Weg nach Hause hi hallo
ham,You will be in the place of that man,तुम उस आदमी के स्थान में हो जाएगा,Du wirst an der Stelle dieses Mannes sein.
ham,Yup next stop.,"हाँ, अगले बंद करो.","Ja, nächste Station."
ham,"I call you later, don't have network. If urgnt, sms me.","मैं तुम्हें बाद में फोन करता हूँ, नेटवर्क नहीं है।","Ich rufe dich später an, habe kein Netzwerk."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,मुझे केवल 2 टिकट और एक और जैकेट चाहिए और मैं कर रहा हूँ. मैं पहले से ही अपने सभी बहुइयों का उपयोग कर चुका हूँ.,Ich brauche nur noch 2 Tickets und noch eine Jacke und ich bin fertig. Ich habe schon alle meine Multis benutzt.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"हाँ, मैं इसे बनाने के लिए अनुरोध भेजने शुरू किया लेकिन दर्द वापस आया तो मैं बिस्तर में भी हूँ. कारखाने में दो सिक्के भी. मैं अपने सभी nseos में नकद होगा.","Ja, ich begann, Anfragen zu senden, um es zu machen, aber Schmerz kam zurück, so bin ich wieder im Bett. Doppelte Münzen in der Fabrik auch. Ich muss in alle meine Nitros bar."
ham,I'm really not up to it still tonight babe,मैं वास्तव में यह अभी भी आज रात बालक करने के लिए नहीं कर रहा हूँ,Ich bin wirklich nicht bis es noch heute Nacht Babe
ham,"Ela kano.,il download, come wen ur free..","अला कानो, डाउनलोड करें, हमन मुक्त आओ.","Ela kano., il download, come wen ur free.."
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,मुझे लगता है कि मैं नहीं कर रहा हूँ!,"Ja, tu es! Steh nicht zu, um zu schließen, du wirst etwas fangen!"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,एक दर्द होने के लिए क्षमा करें. क्या यह ठीक है अगर हम किसी और रात मिलते हैं? मैं देर दोपहर में खर्च और इसका मतलब है कि मैं YT4ooo और कि सभी मेरे समय शीटों में शामिल नहीं किया है.,"Tut mir leid, ein Schmerz zu sein. Ist es okay, wenn wir uns noch eine Nacht treffen? Ich verbrachte am späten Nachmittag im Opfer und das bedeutet, ich habe nichts von y Zeug42moro getan und das beinhaltet alle meine Zeitblätter und das. Sorry."
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,"दर्द से मुस्कराते हुए मुस्कराइए जब बारिश की तरह कोई - न - कोई परेशानी उठती है, तो खुशी से झूम उठता है!","Smile in Pleasure Smile in Pain Smile, wenn Probleme strömen wie Rain Smile, wenn Summe1 verletzt U Smile becoz SOMEONE liebt es immer noch zu sehen u Lächeln!!"
