labels,text,text_hi,text_de,text_fr
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",मैं जल्द ही घर जा रहा हूँ और मैं इस सामान के बारे में अब आज रात बात नहीं करना चाहता हूँ? मैं आज काफी रोया है.,"Ich bin bald zu Hause und will heute Abend nicht mehr darüber reden, K? Ich habe heute genug geweint.","Je vais bientôt rentrer et je ne veux plus parler de ça ce soir, j'ai assez pleuré aujourd'hui."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIXX की संभावना है कि SSH! 100 से 20,000 किलो CH11> और 875 में भेजें. लागत 150/75, 6 दिन, 16+TC जवाब लागू करता है HL 4 जानकारी पर.","SIX Chancen zu gewinnen CASH! Von 100 bis 20.000 Pfund txt> CSH11 und senden an 87575. Kosten 150p / Tag, 6 Tage, 16 + TsandCs gelten Antworten HL 4 info","SIX chances de gagner CASH! De 100 à 20 000 livres txt> CSH11 et envoyer à 87575. Coût 150p/jour, 6jours, 16+ TsandCs appliquer Répondre HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","TVERGENT! आप एक 1 सप्ताह की सदस्यता जीत लिया है हमारे पाउंड Bapapagagaagaagagh! : ""नहीं: 81010 टी www.net LC.net LELLOLOLOLOLOLOBOBOOOOOOOLOLOLOLOLOLOLOLOOOOOOLOLORARARARARARORIORIORARARARORIORIORIOIOILOILO",URGENT! Sie haben eine 1 Woche kostenlose Mitgliedschaft in unserem $100.000 Prize Jackpot gewonnen! Txt das Wort: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,URGENT! Vous avez gagné 1 semaine d'adhésion GRATUITE à notre prix Jackpot £ 100 000! Txt le mot: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,मैं आप इस सांस के लिए धन्यवाद के लिए सही शब्दों के लिए खोज किया गया है. मैं वादा करता हूँ कि आपकी मदद ले और मेरे वादे को पूरा करेगा. आप सब समय पर अद्भुत और आशीष रहे हैं.,"Ich habe nach den richtigen Worten gesucht, um Ihnen für diese Verschnaufpause zu danken. Ich verspreche Ihnen, dass ich Ihre Hilfe nicht für selbstverständlich nehmen und mein Versprechen erfüllen werde.",J'ai cherché les bons mots pour vous remercier pour ce respirateur. Je promets que je ne tiendrai pas votre aide pour acquise et réaliserai ma promesse. Vous avez été merveilleux et une bénédiction en tout temps.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,मेरे पास भविष्य के लिए एक तारीख है!,Ich habe ein Date am Sonntag mit Will!!,J'ai un rendez-vous le dimanche avec Will!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","256XMIGCALLLL: आपका क्रेडिट उपयोग करने के लिए, अगले 74 संदेश में WAP लिंक क्लिक करें या यहाँ क्लिक करें : http://wawpic.com?","XXXMobileMovieClub: Um Ihr Guthaben zu nutzen, klicken Sie auf den WAP-Link in der nächsten txt-Nachricht oder klicken Sie hier>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJGCBL","XXXMobileMovieClub: Pour utiliser votre crédit, cliquez sur le lien WAP dans le prochain message txt ou cliquez ici> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh k...i'm watching here:),ओह के- se यहाँ देख रहा है: (i),Oh k...ich schaue hier:),Oh k... je regarde ici :)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ई. यू. यू. यू.,"Eh u erinnern, wie 2 seinen Namen buchstabieren... Ja, ich habe. Er v freche machen, bis ich v nass.",Souvenez-vous comment 2 épeler son nom... oui je l'ai fait. Il v vilain faire jusqu'à ce que je v mouillé.
ham,Fine if thats the way u feel. Thats the way its gota b,ठीक है कि uu के रास्ते से लग रहा है. कि अपने मिल का रास्ता है.,"Gut, wenn das die Art und Weise u fühlen. Das ist die Art und Weise seine gota b",Très bien si c'est comme ça que tu ressens. C'est comme ça que c'est son geta b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",इंग्लैंड voovoov - Newtater खबर याद है लक्ष्य / tay. loxxxxxxxxxxxe. 870x19Ex50 के लिए राष्ट्रीय टीम की कोशिश करते हैं 870x70.,"England / Mazedonien - verpassen Sie nicht die Tore / Team Nachrichten. Txt ur Nationalmannschaft zu 87077 zB ENGLAND zu 87077 Versuchen:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","Angleterre v Macédoine - ne manquez pas les buts/nouvelles de l'équipe. Txt ur équipe nationale à 87077 par exemple ENGLAND à 87077 Essayez:WALES, SCOTLAND 4txt/ú1.20 POBOX36504W45WQ 16+"
ham,Is that seriously how you spell his name?,आप उसके नाम का उच्चारण कैसे गंभीरता से लेते हैं?,Schreibst du so ernsthaft seinen Namen?,C'est vraiment comme ça que vous épellez son nom?
ham,I‘m going to try for 2 months ha ha only joking,मैं सिर्फ 2 महीने के लिए कोशिश करने के लिए जा रहा हूँ,"Ich werde versuchen, für 2 Monate ha ha nur Scherze",Je vais essayer pendant 2 mois ha ha seulement plaisanter
ham,So ü pay first lar... Then when is da stock comin...,तोुओ पहले लामर भुगतान करते हैं... तो जब डेज़िन है...,"Also zahlen Sie zuerst Lar... dann, wenn da stock comin...",Alors ü paie d'abord... puis quand est da stock comin...
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ARfR मैं अपना भोजन खत्म करता हूँ फिर मैं arrrrer नीचे thrrrrr. Edrrrr. U समाप्त दोपहर पहले से ही है?,"Wenn ich mein Mittagessen fertig, dann gehe ich str down lor. Ard 3 smth lor. U beenden ur Mittagessen bereits?",J'ai fini mon déjeuner puis j'ai décroché lor. Ard 3 smth lor. U fini le déjeuner ur déjà?
ham,Ffffffffff. Alright no way I can meet up with you sooner?,Fffffffffff. कोई रास्ता मैं तुम्हारे साथ जल्दी मिल सकता है?,Ffffffffff. Kann ich mich nicht früher mit dir treffen?,Je ne peux pas te rencontrer plus tôt?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,बस अपने आप को एक टुकड़ा खाने के लिए मजबूर. मैं वास्तव में भूखा नहीं हूँ. यह चूस रहा है. मार्क चिंतित हो रहा है. वह जानता है कि मैं बीमार हूँ जब मैं नीचे गिर रहा हूँ. LL. Lol Leoooow.,"Ich habe wirklich keinen Hunger. Das ist scheiße. Mark macht sich Sorgen. Er weiß, dass ich krank bin, wenn ich Pizza kippe. Lol","Je n'ai pas faim, ça craint, Mark s'inquiète, il sait que je suis malade quand je refuse la pizza."
ham,Lol your always so convincing.,हमेशा अपने विश्‍वास पर अटल रहिए ।,Lol Ihre immer so überzeugend.,Allongez votre toujours si convaincant.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,क्या तुमने बस को पकड़ लिया? क्या तुमने एक चाय बना ली? क्या आप अपनी माँ के खाने के बाद खाना खा रहे हैं? क्या तुम मेरा प्यार महसूस करते हो?,Hast du den Bus erwischt? Frittest du ein Ei? Hast du einen Tee gemacht? Isst du deine Mutter über das Abendessen übrig? Fühlst du meine Liebe?,Tu as pris le bus? Tu fais frire un œuf? Tu as fait un thé? Tu manges le reste de ta mère après le dîner? Tu sens mon amour?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","मैं वापस आ रहा हूँ &ap; हम अब कार पैक कर रहे हैं, मैं तुम्हें पता चल जाएगा कि वहाँ कमरे है","Ich bin zurück &amp; Wir packen jetzt das Auto, ich sage Ihnen, wenn es Zimmer gibt","Je suis de retour &amp; nous sommes en train d'emballer la voiture maintenant, je vous ferai savoir s'il y a de la place"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,मुझे लगता है कि यह कैसा लग रहा है?,Ahhh. Arbeit. Ich erinnere mich vage daran! Wie fühlt es sich an? Lol,Je m'en souviens vaguement! Qu'est-ce que ça fait?
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","रुको कि अब भी स्पष्ट नहीं है कि, आप मेरे बारे में गर्व होना या कि क्यों x हमारे साथ रहने के लिए नहीं चाहता है","Warten Sie, das ist immer noch nicht alles klar, waren Sie nicht sicher, dass ich sarkastisch oder das ist, warum x will nicht mit uns leben","Attends que ce n'est pas tout à fait clair, n'étais-tu pas sûr que je sois sarcastique ou que c'est pourquoi x ne veut pas vivre avec nous"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,हाँ वह 2 में मिल गया और vocopy था. n बाहर गिर गया था और वह लूट के बच्चे की तरह काम किया गया था और वह उस में पकड़ा गया था. 2 तक! लेकिन हम वहाँ नहीं जाना होगा! बहुत बुरी तरह से नहीं कर रहे हैं. आप नहीं कर रहे हैं. आप कर रहे हैं.,"Ja, er kam mit 2 und war v entschuldigt. n war ausgefallen und sie war wie verwöhntes Kind handeln und er wurde darin gefangen. Bis 2! Aber wir werden nicht dorthin gehen! Nicht zu schlecht jubeln. Sie?",Oui il est entré à 2 ans et était v apologétique. n était tombé dehors et elle était actin comme enfant gâté et il a été pris dans cela. Jusqu'à 2 ans! Mais nous n'allons pas là-bas!
ham,K tell me anything about you.,के- मुझे तुम्हारे बारे में कुछ बताओ.,Erzählen Sie mir etwas über Sie.,Je n'ai rien à vous dire.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,आप अभी कर रहे थे कि घर के डर के लिए डर के लिए?,"Aus Angst vor Ohnmacht mit der ganzen Hausarbeit, die Sie gerade getan haben? Schnell haben einen Cuppa",De peur de s'évanouir avec toutes ces tâches ménagères que tu viens de faire?
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,अपने सदस्यता के लिए धन्यवाद Ratnon Atak के लिए आपके मोबाइल case/MK/मा पर आरोप किया जाएगा कृपया YEK या नहीं जवाब के द्वारा पुष्टि करें. यदि आप उत्तर जवाब नहीं देते हैं तो आपको कोई आज्ञा नहीं दी जाएगी,"Vielen Dank für Ihr Abonnement an Ringtone UK Ihr Handy wird berechnet £5/Monat Bitte bestätigen Sie, indem Sie JA oder NEIN. Wenn Sie antworten NEIN werden Sie nicht berechnet",Merci pour votre abonnement à Ringtone UK votre mobile sera facturé £5/mois Veuillez confirmer en répondant OUI ou NON. Si vous répondez NON vous ne serez pas facturé
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yue... Oke मैं समय पर घर देखो तो मैं फिर से sughuue... Xm पर सीखने के लिए जा रहा है लेकिन उसका सबक 8 बजे है,"Yup... Ok, ich gehe nach Hause schauen Sie sich die Timings dann i msg u wieder... Xuhui gehen, um am 2. Mai zu lernen, aber ihre Lektion ist um 8 Uhr",Ouais... Ok je rentre à la maison regarder les timings puis i msg ü encore... Xuhui va apprendre le 2e mai aussi mais sa leçon est à 8h
ham,"Oops, I'll let you know when my roommate's done","ओफ्फ, मैं तुम्हें जब मेरे रूम में किया है पता चल जाएगा","Oops, ich sag dir Bescheid, wenn meine Mitbewohnerin fertig ist.","Oups, je te préviendrai quand ma colocataire aura fini."
ham,I see the letter B on my car,मैं अपनी कार पर पत्र बी देखते हैं,Ich sehe den Buchstaben B auf meinem Auto,Je vois la lettre B sur ma voiture.
ham,Anything lor... U decide...,कुछ भी... यू. निर्णय...,Irgendetwas lor... U entscheiden...,Tout ce que le lor... U décidera...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,हैलो! तुम और कैसे दोपहर के दिन चले गए? मैं सिर्फ देखने के लिए पाठ था कि आप कुछ भी करने के लिए चाहते हैं. नहीं कि मैं अपने आप को या कुछ भी आमंत्रित करने के लिए कोशिश कर रहा हूँ!,"Hallo! Wie geht es dir und wie ist der Samstag gelaufen? Ich habe nur gesimst, um zu sehen, ob du dich entschieden hast, etwas Tomo zu tun. Nicht, dass ich versuche, mich einzuladen oder so!",Bonjour! Comment allez-vous et comment ça s'est passé samedi? Je textais juste pour voir si vous aviez décidé de faire n'importe quoi tomo. Pas que j'essaie de m'inviter ou quoi que ce soit!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,मैं निश्‍चित होना चाहती थी ।,Pls gehen Sie mit Watt. Ich wollte nur sicher sein. Haben Sie ein tolles Wochenende. Abiola,Pls va de l'avant avec watts. Je voulais juste être sûr.
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","मैं तुम्हें बताना भूल गया था, मैं चाहता हूँ, मैं तुम्हें चाहता हूँ, मैं तुम्हें चाहता हूँ... लेकिन सबसे अधिक... मैं तुमसे प्यार करता हूँ अपने प्यारी अरब कच्चे...","Habe ich vergessen, dir zu sagen? Ich will dich, ich brauche dich, ich sehne mich nach dir... Aber vor allem... Ich liebe dich mein süßes arabisches Pferd... Mmmmmmm... Lecker","Est-ce que j'ai oublié de te le dire? Je te veux, j'ai besoin de toi, je t'ai envie... Mais surtout... Je t'aime ma douce arabo... Mmmmm... Miammy"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,077325355 - Rowvirivirirrrivivs के लिए आप अपने जवाब को फिर से करने की कोशिश की एक मुक्त करने के लिए हमारे syms करने के लिए एक स्वतंत्र मोबाइल या मुफ्त के लिए। कृपया अब कल के लिए फोन करें,"07732584351 - Rodger Burns - MSG = Wir haben versucht, Sie anzurufen Ihre Antwort auf unsere sms für eine kostenlose nokia mobile + kostenlose Camcorder. Bitte rufen Sie jetzt 08000930705 für die Lieferung morgen",07732584351 - Rodger Burns - MSG = Nous avons essayé de vous appeler re votre réponse à nos sms pour un mobile nokia gratuit + caméscope gratuit. Veuillez appeler au 08000930705 pour la livraison demain
ham,WHO ARE YOU SEEING?,आप कौन देख रहे हैं?,Wen siehst du?,Qui vois-tu?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,मुझे आशा है कि आप अपने आदमी को अच्छी तरह से प्रदान करते हैं. मैं हूँ &gt;#gt; इंच...,"Ich hoffe, Sie mögen Ihren Mann gut ausgestattet. Ich bin &lt;#&gt; Zoll...",Super! J'espère que vous aimez votre homme bien doué. Je suis &lt;#&gt; pouces...
ham,No calls..messages..missed calls,कोई कॉल नहीं. संदेश.,Keine Anrufe..Nachrichten..fehlte Anrufe,Pas d'appels..messages..appels manqués
ham,Didn't you get hep b immunisation in nigeria.,तुम्हें नहीं मिला है Hercaziririia में.,Hast du keine Hep-b-Impfung in Nigeria bekommen?,Vous n'avez pas reçu d'immunisation de l'hépatite B en nigère.
ham,"Fair enough, anything going on?","पर्याप्त, कुछ भी चल रहा है?",Ist alles in Ordnung?,"C'est juste, il se passe quelque chose?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","हाँ उम्मीद है, अगर arter यह नहीं कर सकता है मैं थोड़ा के आसपास पूछ सकता है","Ja, hoffentlich, wenn Tyler es nicht schafft, könnte ich vielleicht ein bisschen fragen.","Oui, j'espère, si Tyler ne peut pas le faire, je pourrais peut-être demander un peu."
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,मैं भी अस्पताल नहीं जाना चाहता था. मैं मार्क से कह रहा था कि मैं एक कमजोर बच्चा नहीं हूँ. अस्पताल कमजोर चूसनेवालों के लिए हैं.,"Ich weiß nicht, wie stur ich bin. Ich wollte nicht einmal ins Krankenhaus gehen. Ich sagte Mark, dass ich kein schwacher Trottel bin. Krankenhäuser sind für schwache Trottel.",Je ne voulais même pas aller à l'hôpital.
ham,What you thinked about me. First time you saw me in class.,आप मेरे बारे में क्या सोचते हैं.,"Was du an mich gedacht hast, als du mich das erste Mal im Unterricht gesehen hast.",La première fois que tu m'as vu en cours.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",एक ग्राम आमतौर पर होता है &gt;#gt; एक आधा आठवाँ स्मार्ट है हालांकि और आप लगभग एक पूरे सेकंड के लिए हो जाता है (l);# wutgt;,"Ein Gramm läuft normalerweise wie &lt;#&gt;, ein halbes Achtel ist aber klüger und bekommt fast ein ganzes zweites Gramm für &lt;#&gt;","Un gramme fonctionne habituellement comme &lt;#&gt;, un demi-huitième est plus intelligent cependant et vous obtient presque un second gramme entier pour &lt;#&gt;"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,के- fyi x कल सुबह एक सवारी है लेकिन वह आज रात हमारे जगह पर गड़बड़ है,"K fyi x hat morgen früh eine Fahrt, aber er stürzt heute Abend bei uns ab.",K fyi x a un tour tôt demain matin mais il s'écrase chez nous ce soir
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","वाह, मुझे नहीं पता था कि आप इतने परेशान थे. मैंने सोचा कि आप इसे पसंद कर रहे थे, क्योंकि मैं सबसे अच्छा कर रहा था और आप हमेशा खुश लग रहा था "" गुफा."" मैं नहीं कर रहा हूँ और अधिक देने के लिए नहीं है. मैं माफी चाहता हूँ. मैं अपने कमरे इतना परेशान हूँ इतना है. मुझे लगता है कि मैं अपने कमरे के लिए इतना अच्छा था. ""","Ich dachte, du magst es, da ich das Beste tat, was ich konnte, und du schienst immer so glücklich über die ""Höhle"". Es tut mir leid, dass ich es nicht getan habe und nicht mehr zu geben. Es tut mir leid, dass ich angeboten habe. Es tut mir leid, dass dein Zimmer so peinlich war.","Je n'ai jamais réalisé que tu étais si embarrassée par tes logements. Je pensais que tu l'aimais, puisque je faisais de mon mieux et que tu avais toujours l'air si content de ""la grotte"". Je suis désolé de ne pas avoir eu plus à donner. Je suis désolé d'avoir offert. Je suis désolé que ta chambre ait été si embarrassante."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,CTASS. एक Cuttv: नया जर्सी इब्‌लीस और डेचिक रेड पंख बर्फ हो सकता है. सही या गलत?,SMS. ac Sptv: Die New Jersey Devils und die Detroit Red Wings spielen Eishockey. Richtig oder falsch? Ende? Antworten END SPTV,SMS. ac Sptv: Les Devils du New Jersey et les Red Wings de Detroit jouent au hockey sur glace. Correct ou incorrect? Fin? Réponse END SPTV
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,अब पता लगाइए कि कल क्या किया था? @ltgt; यूआरएलgt;,"Weißt du, was Mallika Sherawat gestern gemacht hat? Finde es jetzt heraus @ &lt;URL&gt;",Savez-vous ce que Mallika Sherawat a fait hier? Découvrez maintenant @ &lt;URL&gt;
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","1 साल के लिए विशेष हॉलिंग पास 2 के लिए जा रहा है। कॉल 09061246565 अब! Cueman Wort, स्टारv3, आदि सभी 444-44-44-5. 150 बार याद है!","Herzlichen Glückwunsch! 1 Jahr Spezial-Kino-Pass für 2 ist Ihr. rufen Sie 09061209465 jetzt! C Suprman V, Matrix3, StarWars3, etc alle 4 GRATIS! bx420-ip4-5we. 150pm. Nicht verpassen!","Félicitations! 1 an de laissez-passer spécial cinéma pour 2 est à vous. appelez le 09061209465 maintenant! C Suprman V, Matrix3, StarWars3, etc tous les 4 GRATUIT! bx420-ip4-5we. 150pm. Ne manquez pas!"
ham,"Sorry, I'll call later in meeting.","क्षमा करें, मैं बाद में बैठक में फोन करेंगे.","Tut mir leid, ich rufe später an.","Désolé, j'appellerai plus tard à la réunion."
ham,Tell where you reached,बताता है कि आप कहाँ पहुँचे,"Sagen Sie, wo Sie angekommen sind.",Dites où vous êtes arrivé.
ham,Yes..gauti and sehwag out of odi series.,हाँ. uguti और ओडिग श्रृंखला से बाहर.,Ja..gauti und Sehwag aus der Serie odi.,Oui..gauti et sehwag en série d'odi.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,आप अपने रास्ते पर अपने लिए एक surger लेने के लिए है. मैं भी स्थानांतरित नहीं कर सकते. दर्द मुझे मार रहा है.,"Du musst einen Burger für dich auf dem Heimweg abholen, ich kann mich nicht mal bewegen, Schmerz bringt mich um.","Tu vas devoir prendre un hamburger pour toi-même en rentrant, je ne peux même pas bouger, la douleur me tue."
ham,Ha ha ha good joke. Girls are situation seekers.,हा हा अच्छा मजाक. लड़की की स्थिति की खोज कर रहे हैं.,Mädchen sind Situationssuchende.,Les filles cherchent la situation.
ham,Its a part of checking IQ,इसकी जाँच आईQ का एक भाग,Es ist ein Teil der Überprüfung IQ,C'est une partie du contrôle du QI
ham,"Sorry my roommates took forever, it ok if I come by now?","क्षमा करें मेरे रूमों हमेशा ले लिया, यह ठीक है अगर मैं अब से आते हैं?","Tut mir leid, dass meine Mitbewohner für immer gebraucht haben, okay, wenn ich jetzt vorbeikomme?","Désolé que mes colocataires aient pris une éternité, ça va si je viens maintenant?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ओके लामर मैं swif swifuhhhhhhher पहले से ही कहा है कि wuuuuuuuuuuuuue. उन्होंने कहा कि मैं अच्छा देख तक कटौती करेंगे.,"Ok lar i doppelt überprüfen wif da Haar Kommode bereits sagte er wun Schnitt v kurz. Er sagte, wird schneiden, bis ich schön aussehen.",Ok lar je double vérifier wif da coiffeur déjà il a dit wun couper v court. Il a dit couper jusqu'à ce que je sois belle.
